word,meaning
fatigue,n. 疲劳，疲乏
endanger,v. 危及，危害，濒临危险
laborious,adj. 费力的
passion,n. 热情，激情
inflate,v. (使)膨胀
exaggerate,v. 夸张
illustrate,"v. 说明,阐明"
overflow,v. 溢出，淹没
fantasize,v. 想象，幻想
amusing,adj. 有趣的，好玩儿的
generate,v. 产生
backslide,v. 倒退，退步
particle,n. 微粒
reproduce,v. 复制
worsen,v. （使）变得更坏
feedback,n. 反馈
equivalent,adj. 相等的，相当的
motivate,v. 促动，激发，诱导
compel,v. 强迫
revise,v. 修订
dampen,v. 抑制
prosperity,n. 繁荣
humanity,n. 人类〔总称〕
pursue,v. 追求
innovate,v. 创新，革新
picky,adj. 挑剔的
explosion,n. 爆炸
sufficient,adj. 足够的
stereotype,n. 老套，固定模式
honesty,n. 诚实
divine,adj. 神圣的
guideline,n. 指导原则
dishwasher,n. 洗碗机
promising,adj. 有希望的，有前途的
fussy,adj. 爱挑剔的
dictate,v. 命令，规定 n. 命令，规定
prosper,v. 繁荣
deliberate,adj. 故意的
retreat,v. 退避，后退
insult,v. 侮辱
neglect,v. 疏忽
primarily,adv. 主要地，首先
incline,v. 倾向于
asset,n. 有价值的人(或物)资产
overtake,v. 超车
emphasize,v. 强调
genuine,adj. 真正的
lodge,v. 住宿，暂住
rigorous,adj. 严格的
surpass,v. 超过
aviation,n. 航空
distress,v. 使痛苦，悲痛
invariably,adv. 不变地，一直
invest,v. 投资
visible,adj. 看得见的
liability,n. 责任
resistant,adj. 抵抗的
nutritious,adj. 营养的
constantly,adv. 不断地，时常地
terribly,adv. 可怕地，非常
restore,v. 修复
refine,v. 改善
comply,v. 遵从
marvelous,adj. 引起惊异的
provoke,v. 激起，挑起
lobby,n. 大堂 v. 游说
profound,adj. 深厚的
startup,n. 启动，开办
geographic,adj. 地理的
endure,v. 忍耐
assembly,n. 装配
opponent,n. 对手
confront,v. 面对
attribute,v. 归因于
tempting,adj. 诱人的，吸引人的
feasible,adj. 可行的
diligent,adj. 勤奋的
deprive,v. 剥夺，夺去，使丧失
grid,n. 输电网
highlight,v. 突出 n. 突出的部分
justify,v. 证明……正当
proposal,n. 提议
advisory,n. 报告，警告
derive,v. 得到，导出
priority,n. 优先，优先权
symbolize,v. 象征
bankrupt,adj. 破产的，倒闭的
intake,n. 摄入
addiction,n. 上瘾
productive,adj. 富有成效的
retrain,v. 再教育
excessive,adj. 过度的
dishonest,adj. 不诚实的
glorious,adj. 辉煌的
pointless,adj. 无意义的
mutual,adj. 相互的
evolve,v. 使发展
disservice,n. 伤害，帮倒忙
ambitious,adj. 有雄心的，野心勃勃的
fuss,n. 大惊小怪
ultimately,adv. 最后，最终
regulate,v. 管理
virtually,adv. 几乎，差不多
accustom,v. 使习惯
retailer,n. 零售商
programmer,n. 程序设计员
admiration,n. 钦佩，称赞
courageous,adj. 有勇气的
respectful,adj. 有礼貌的，尊重的
makeup,n. 化妆品
namely,adv. 即，也就是
assemble,v. 集合
visibility,n. 能见度
distracted,adj. 分心的
insecure,adj. 不安全的
chap,n. 小伙子，小家伙，家伙
selective,"adj. 选择的,精选的"
inadequacy,n. 不足
intense,adj. 强烈的
facilitate,v. 使便利，促进
mislead,v. 误导
reassess,v. 重新评估
stimulate,v. 刺激
regularly,adv. 定期地，有规律地
fascinate,v. 强烈地吸引，迷住
durability,n. 持久
constitute,v. 组成
ignorant,adj. 无知的
archive,n. 档案馆，档案室
overload,n. 负担太重
mechanic,n. 机械师
detect,v. 觉察
forefinger,n. 食指
repave,v. 再铺，重新铺砌
downfall,n. （雨等的）大下特下
perception,n. 感知
facility,n. 设施
proportion,n. 比例，部分
detailed,adj. 细节的，详细的
guilt,n. 有罪，犯罪行为
infinite,adj. 无限的
hazard,n. 危险
undervalue,v. 低估
appealing,adj. 吸引人的
fitness,n. 健康
protest,v. 抗议
refuel,v. （给）加油，加燃料
tackle,v. 处理
dissatisfy,v. 不满意
offense,n. 犯罪
abruptly,adv. 突然地
weaken,v. 减少，减弱
sticky,adj. 粘的
excess,n. 过量，过度
recruit,v. 招募，吸收 n. 新兵，新成员
overstate,v. 夸张，夸大
restock,v. 重新进货，再储存
convict,v. 证明…有罪
deepen,v. 使加深，加剧
territory,n. 领土，领域
resolve,v. 解决
soluble,adj. 可溶的
amplify,v. 放大，扩大
bulk,n. 大部分
dragon,n. 龙
lately,adv. 最近，不久前
missing,adj. 失去的
arouse,v. 引起，唤起
modify,v. 更改，修改
realm,n. 领域
lever,n. 控制杆
midst,n. 中部，中间，当中
ribbon,n. 缎带，丝带
conquer,v. 征服
enthusiasm,n. 热情，热心，热忱
brood,n. 同窝幼鸟 v. 孵（蛋）
execute,v. 将…处死
conceal,v. 把…隐藏起来
messenger,n. 送信者，信使
naval,adj. 海军的，军舰的
governor,n. 州长
learning,n. 学问，知识
sting,v. 刺 n. 刺
manual,adj. 体力的 n. 手册
cabinet,n. 内阁
impressive,adj. 给人印象深刻的
stack,n. 堆，垛 v. 堆积
emphasis,n. 强调，重点，重要性
shortage,n. 不足，缺少，不足额
tunnel,n. 隧道，坑道，地道
hedge,n. 篱笆，树篱
bundle,n. 捆，包，束
stretch,v. 伸展 n. 伸展
preceding,adj. 在前的
patch,n. 补丁 v. 修补，缝补
ornament,n. 装饰物
hare,n. 野兔
brook,n. 小河，溪流
artistic,adj. 艺术的
sincere,adj. 真诚的
sympathize,v. 同情
meadow,n. 草地，牧草地
surrender,v. 交出
complicate,v. 使复杂
gardener,n. 园丁，花匠
conversion,n. 转变，转化
trumpet,n. 喇叭，小号
canoe,n. 独木舟，皮艇，划子
entertain,v. 使欢乐
congress,n. 大会
frequency,n. 屡次
confess,v. 供认，承认
industrial,adj. 工业的
explosive,n. 炸药 adj. 会爆炸的
elastic,n. 松紧带 adj. 有弹性的
paste,n. 糊
inhabit,v. 居住于，栖息于
gaseous,adj. 气体的，气态的
bold,adj. 大胆的
prosperous,adj. 繁荣的，昌盛的
turbine,n. 叶轮机，汽轮机
contempt,n. 轻蔑
dew,n. 露，露水
palm,n. 手掌，手心
crude,adj. 简陋的
frank,adj. 坦白的，直率的
moan,n. 呻吟声 v. 呻吟
barn,n. 谷仓
dramatic,adj. 戏剧的
rhythm,n. 韵律，格律
shield,n. 盾 v. 保护
aural,adj. 耳的，听觉的
measurable,adj. 可测量的
clasp,n. 扣子，钩子
cliff,n. 悬崖，峭壁
orphan,n. 孤儿
property,n. 财产，资产
fearful,adj. 害怕的，可怕的
suspicion,n. 怀疑，疑心，猜疑
orchestra,n. 管弦乐队
berry,n. 浆果（如草莓等）
hatred,n. 憎恶，憎恨，仇恨
poverty,n. 贫穷，贫困
banner,n. 横幅
Marxism,n. 马克思主义
drip,v. 滴下 n. 水滴
advisable,adj. 明智的
germ,n. 微生物，细菌
beloved,adj. 为…所爱的 n. 爱人
rarely,adv. 很少，难得
subsequent,adj. 随后的，后来的
jewish,adj. 犹太人的
bullet,n. 枪弹，子弹，弹丸
condense,v. 压缩，使缩短
exert,v. 运用
finding,n. 发现
steamer,n. 轮船，汽船
formation,n. 形成
inward,adj. 内心的 adv. 向内
plentiful,adj. 丰富的，富裕的
dissolve,v. 使溶解
farther,adv. 更远地 adj. 更远的
liner,n. 班船，班机
coil,n. （一）卷 v. 卷
compute,v. 计算，估计，估算
alloy,n. 合金
suspend,v. 吊，悬
workman,n. 工人，劳动者，工匠
leadership,n. 领导
jealous,adj. 妒忌的
rebel,v. 造反 n. 造反者
management,n. 管理
descend,v. 下来，下降
Fahrenheit,n. 华氏温度
lumber,n. 木材
encounter,v. 遭遇，遇到 n. 遭遇
compose,v. 创作
protective,adj. 保护的，防护的
overall,n. 工装裤 adj. 全面的
freely,adv. 自由地
dishonour,n. 不光彩
drift,v. 漂流 n. 趋势
mechanical,adj. 机械的
glide,v. 滑动 n. 滑行
drain,v. 排去 n. 耗竭
nonsense,n. 胡说，废话
apparatus,n. 器械，仪器
grace,n. 优美
preface,n. 序言，前言，引语
adjective,n. 形容词
horizontal,adj. 地平的
acceptable,adj. 可接受的，合意的
deadly,adj. 致命的
bloom,n. 花
railroad,n. 铁路
definite,adj. 明确的
skim,v. 掠过，擦过
flourish,v. 繁荣，茂盛，兴旺
precision,n. 精确，精密，精密度
gasp,v. 气喘，喘息
deceit,n. 欺骗，欺诈
desirable,adj. 值得相望的
furious,adj. 狂怒的
bruise,n. 青肿，伤痕
dose,n. 剂量，用量
auxiliary,adj. 辅助的
groan,v. 哼，呻吟 n. 呻吟
harden,v. 使变硬
fable,n. 寓言
trail,n. 小径 v. 跟踪
indirect,adj. 间接的
meantime,n. 其时，其间 adv. 当时
portion,n. 一部分
restraint,n. 抑制
verify,v. 证实，查证
conquest,n. 攻取，征服
bristle,n. 短而硬的毛
delegation,n. 代表团
objective,adj. 客观的
sulphur,n. 硫（磺），硫黄
appliance,n. 用具，器具，器械
inspection,n. 检阅
venture,n. 冒险 v. 敢于
input,n. 输入
roar,v. 吼叫 n. 吼
faithful,adj. 忠诚的
humble,adj. 谦逊的
democracy,n. 民主制
spoil,v. 损坏，糟蹋
pigeon,n. 鸽子
conversely,adv. 相反地
tray,n. 托盘，碟
diameter,n. 直径
glitter,v. 闪闪发光 n. 闪光
infant,n. 婴儿 adj. 婴儿的
convention,n. 习俗，惯例
greatly,adv. 大大地，非常
waken,v. 醒来
organic,adj. 有机体的
vigorous,adj. 朝气蓬勃的
spark,n. 火花，火星
stripe,n. 条纹，条子
infer,v. 推论，推断
instantly,adv. 立即，即刻
monthly,adj. 每月的 adv. 每月
dumb,adj. 哑的
rotten,adj. 腐烂的，发臭的
indication,n. 指示
submarine,adj. 水下的 n. 潜水艇
oriental,adj. 东方的
multiple,adj. 多的
strap,n. 带子 v. 捆扎
barrel,n. 桶
plunge,v. 使投入
philosophy,n. 哲学
thrive,v. 兴旺，繁荣，旺盛
fireman,n. 消防队员
awfully,adv. 令人畏惧的
concerning,prep. 关于
unlikely,adj. 未必的，未必可能的
liar,n. 说谎的人
indefinite,adj. 不明确的
dairy,n. 牛奶场 adj. 乳制品
restrain,v. 抑制，遏制
observer,n. 观察员，观测者
sometime,adv. 在某一时候
flush,v. （脸）发红
canvas,n. 粗帆布
economical,adj. 节约的
oppress,v. 压迫，压制
Latin,adj. 拉丁的 n. 拉丁语
dock,n. 船坞
devise,v. 设计，发明
absolutely,adv. 完全地
fulfil,v. 履行
limited,adj. 有限的
campus,n. 校园，学校场地
frequently,adv. 时常，常常
hostile,adj. 不友善的
extensive,adj. 广阔的
locomotive,n. 火车头，机车
fluid,n. 流体，液体
compile,v. 编辑，编制，搜集
bitterly,adv. 苦苦地
miracle,n. 奇迹，令人惊奇的人
clothe,v. 给…穿衣服
resume,v. 重新开始
obviously,adv. 明显地，显然地
breeze,n. 微风，和风
Englishman,n. 英国男子
numerous,adj. 为数众多的
foremost,adj. 最初的
childish,adj. 孩子的
residence,n. 居住
genius,n. 天才，天赋，天资
closely,adv. 紧密地
axis,n. 轴，轴线
succession,n. 连续
gaze,v. 凝视，盯，注视
presence,n. 出席，到场
captive,n. 俘虏，被监禁的人
colonel,n. 陆军上校
hateful,adj. 可恨的，可恶的
slit,n. 裂缝 v. 切开，撕开
despise,v. 鄙视，蔑视
volt,n. 伏特，伏
navigation,n. 航行
torch,n. 手电筒
bubble,n. 泡 v. 冒泡，沸腾
charming,adj. 迷人的，可爱的
uncover,v. 揭开…的盖子
interior,adj. 内的 n. 内部
historical,adj. 历史的，有关历史的
thoughtful,adj. 体贴的
discipline,n. 纪律 v. 训练
workshop,n. 车间，工场
listener,n. 听众之一
fertilizer,n. 肥料
forth,adv. 向前
gracious,adj. 有礼貌的
donkey,n. 驴
regarding,prep. 关于
commonly,adv. 普通地，一般地
filter,v. 过滤 n. 过滤器
confusion,n. 混乱
successive,adj. 连续的
conscious,adj. 意识到的
crust,n. 面包皮
outlet,n. 出口
subtract,v. 减，减去，去掉
immense,adj. 巨大的
outset,n. 开始，开端
disguise,v. 隐瞒，掩埋 n. 假装
brisk,adj. 活泼的
shriek,v. 尖声喊叫 n. 尖叫声
elaborate,adj. 复杂的
occurrence,n. 发生，出现
isolate,v. 使隔离，使孤立
supplement,n. 增补物，补充物 v. 增补，补充
inferior,adj. 下等的
efficiency,n. 效率
heating,n. 加热，供暖
comprise,v. 包含，包括
wholly,adv. 完全地，全部
shear,v. 剪
basically,adv. 基本上
naturally,adv. 自然地
despair,n. 绝望 v. 绝望
enforce,v. 实施，执行
definitely,adv. 一定地，明确地
brute,n. 禽兽，畜生
gramme,n. 克（重量单位）
displease,v. 使不愉快，使生气
depress,v. 使沮丧
certainty,n. 必然
secondary,adj. 第二的
magnet,n. 磁铁，磁石，磁体
hasten,v. 催促
helpless,adj. 无助的
mutter,v. 轻声低语
outskirt,n. 外边，郊区
peculiar,adj. 特有的
flock,n. 羊群，群
generator,n. 发电机
scatter,v. 撒
commander,n. 司令官，指挥员
limb,n. 肢，臂，翼
disposal,n. 丢掉，处理，销毁
repetition,n. 重复，反复
location,n. 位置，场所
cement,n. 水泥 v. 粘结
accessary,n. 同谋，从犯
dwelling,n. 住处，寓所
atomic,adj. 原子的
omit,v. 省略，省去
announcer,n. 播音员
formula,n. 公式，式
lieutenant,n. 陆军中尉
dependent,adj. 依靠的，依赖的
utmost,adj. 最大的 n. 极限
cooperate,v. 合作，协作
grieve,v. 悲痛
gymnasium,n. 体育馆，健身房
brim,n. 边，边缘
prescribe,v. 开处（方）
relativity,n. 相对性
internal,adj. 国内的
brandy,n. 白兰地酒
directly,adv. 直接地
unity,n. 单一
beggar,n. 乞丐，穷人
amongst,prep. 在…之中（among）
colony,n. 殖民地
reservoir,n. 水库
ridge,n. 岭，山脉
exceed,v. 超过，胜过
marine,adj. 海的
cabin,n. 小屋
senate,n. 参议院，上院
harness,v. 控制[利用]〔自然力等〕 n. 马具，挽具
organism,n. 生物体
radius,n. 半径
nuisance,n. 讨厌的人（东西）
accordance,n. 按照某事物
greenhouse,n. 温室，玻璃暖房
farewell,int. 再会 n. 告别
principal,adj. 主要的 n. 负责人
evaporate,v. 使蒸发
upright,adj. 垂直的
faculty,n. 系，科
liver,n. 肝
capacity,n. 容量
kneel,v. 跪，跪下，跪着
creep,v. 爬行
spill,v. 使溢出
somewhat,adv. 有点
liberal,adj. 心胸宽大的
tropical,adj. 热带的
molecule,n. 分子，克分子
motion,n. 运动
circular,adj. 圆的
landlord,n. 地主
microphone,n. 话筒，麦克风
gently,adv. 有礼貌地
flavour,n. 味，味道
tender,adj. 嫩的
mute,adj. 缄默的 n. 哑巴
dorm,n. 宿舍
discard,v. 丢弃，抛弃，遗弃
exclaim,v. 呼喊
compress,v. 压紧，压缩
brow,n. 额
scarcely,adv. 几乎不
marvellous,adj. 奇迹般的
footstep,n. 脚步
bough,n. 树枝
treaty,n. 条约
uneasy,adj. 心神不安的，忧虑的
solemn,adj. 严肃的，庄重的
dispose,v. 去掉，丢掉
brighten,v. 使发光
sulfur,n. 硫（磺），硫黄
beginner,n. 初学者，生手
slam,v. 使劲关
decay,v. 腐烂 n. 腐烂
prime,adj. 首要的 n. 青春
gunpowder,n. 黑色火药
completely,adv. 十分，完全地
electron,n. 电子
lime,n. 石灰
efficient,adj. 效率高的，有能力的
underneath,adv. 在下面，在底下
copper,n. 铜
delivery,n. 投递
landing,n. 上岸，登陆，着陆
Roman,n. 古罗马人 adj. 罗马的
cafe,n. 咖啡馆
generally,adv. 一般地
payment,n. 支付
flare,v. 闪耀
mode,n. 方式
defect,n. 缺点，缺陷，欠缺
infect,v. 传染
ultimate,adj. 最后的，最终的
linen,n. 亚麻布
moist,adj. 湿润的
gasoline,n. （美）汽油
cunning,adj. 狡猾的，狡诈的
deceive,v. 欺骗，蒙蔽，行骗
voltage,n. 电压
dialog,n. 对话，对白
worship,n. 礼拜 v. 崇拜
glimpse,v. 瞥见 n. 一瞥，一看
dialect,n. 方言，土语，地方话
romantic,adj. 浪漫的
plural,adj. 复数的 n. 复数
applicable,adj. 能应用的
unload,v. 卸（货）
withstand,v. 抵挡，反抗
bind,v. 捆绑
pillar,n. 柱，柱子
metric,adj. 公制的，米制的
gratitude,n. 感激，感谢，感恩
employee,n. 受雇者，雇员，雇工
nucleus,n. 核，（原子）核
oblige,v. 迫使
static,adj. 静的
portrait,n. 肖像，画像
partial,adj. 部分的
yearly,adj&adv. 每年的
cord,n. 细绳，粗线，索
invasion,n. 入侵，侵略
compound,n. 化合物
loosen,v. 解开
normally,adv. 通常
cargo,n. 船货，货物
plantation,n. 种植园
gross,adj. 总的
immigrant,n. 移民
humid,adj. 湿的，湿气重的
magnetic,adj. 磁的
glow,n. 白热光 v. 发白热光
tame,adj. 驯服的
equation,n. 方程（式）
luxury,n. 奢侈，奢华
poetry,n. 诗，诗歌，诗作
idle,adj. 空闲的
transmit,v. 传送，传达
brass,n. 黄铜
proceed,v. 进行
expansion,n. 扩大
honeymoon,n. 蜜月
propose,v. 提议
lawn,n. 草地，草坪，草场
instinct,n. 本能
await,v. 等候，期待
drought,n. 旱灾，干旱
miner,n. 矿工
pinch,v. 捏，拧，掐掉
transistor,n. 晶体管
knob,n. 门把，拉手
presently,adv. 一会儿
vitamin,n. 维生素，维他命
whilst,conj. 当…的时候
wreck,n. 沉船，失事船 v. 破坏
chill,v. 使变冷 n. 寒冷
weave,v. 织，编
heir,n. 后嗣，继承人
continual,adj. 不断的
unexpected,adj. 想不到的，意外的
exhibit,v. 陈列，展览
stroke,n. 中风
millimetre,n. 毫米
interfere,v. 干涉，干预
crow,n. 鸦，乌鸦 v. 啼
behavior,n. 行为，举止，态度
provided,conj. 以…为条件
vessel,n. 船，飞船
overnight,adv. 一夜
motive,n. 动机，目的
capture,v. 捕获，俘获
collective,adj. 集体的
restless,adj. 不安定的，焦虑的
tempt,v. 引诱，诱惑
corridor,n. 走廊，回廊，通路
duration,n. 持续，持久
mould,n. 模子，模型 v. 浇铸
logical,adj. 逻辑的
horsepower,n. 马力
disclose,v. 揭开，揭发
further,adv. 更远地 adj. 更远的
catalog,n. 目录，目录册
coward,n. 懦夫
trim,adj. 整齐的 v. 使整齐
vibrate,v. 使颤动
substance,n. 物质
procession,n. 队伍，行列
rifle,n. 步枪，来复枪
blossom,n. 花 v. 开花
heading,n. 标题，题词，题名
commerce,n. 商业，贸易
elsewhere,adv. 在别处，向别处
faulty,adj. 有缺点的
respective,adj. 各自的，各个的
ounce,n. 盎司，英两
devil,n. 魔鬼，恶魔
waggon,n. 四轮运货马车
rack,n. 搁物架
lace,n. 鞋带，系带
jolly,adj. 快活的
loop,n. 圈，环，环孔
moisture,n. 潮湿，湿气
investment,n. 投资，投资额
summarize,v. 概括，概述，总结
thereby,adv. 因此，从而，由此
usage,n. 使用，对待
cripple,n. 跛子
cigaret,n. 香烟，纸烟，卷烟
thickness,n. 厚（度）
wicked,adj. 坏的
suspicious,adj. 怀疑的
scrape,v. 刮 n. 刮
Bible,n. 基督教《圣经》
stability,n. 稳定
lower,adj. 较低的 v. 放下
saddle,n. 鞍子，马鞍
moderate,adj. 温和的
reaction,n. 反应
outlook,n. 观点，看法
reduction,n. 减少，减小，缩减
invisible,adj. 看不见的
noun,n. 名词
blend,v. 混和 n. 混和物
gulf,n. 海湾
repeatedly,adv. 重复地
manly,adj. 男子气概的，果断的
Mister,n. 先生
crawl,v. 爬，爬行
employment,n. 工作
dread,n. 畏惧 v. 惧怕
furnace,n. 炉子，熔炉
accord,v. 给予
petroleum,n. 石油
hollow,adj. 空的
earnest,adj. 认真的，诚恳的
veteran,n. 老兵
span,n. 持续时间
collapse,v. 倒坍
assure,v. 使确信
radar,n. 雷达，无线电探测器
gauge,v. 量，测量 n. 量器
rust,n. 锈 v. 生锈，氧化
automobile,n. 汽车，机动车
grind,v. 磨（碎）
excursion,n. 远足
haste,n. 急速，急忙
needless,adj. 不需要的
habitual,adj. 习惯性的，惯常的
erect,v. 建造
noticeable,adj. 显而易见的
orderly,adj. 整洁的
horizon,n. 地平线
similarly,adv. 类似地，相似地
protein,n. 蛋白质，朊
specimen,n. 样本，标本，样品
exterior,adj. 外部的
variable,adj. 易变的 n. 变量
revolt,n. 反抗 v. 反抗
width,n. 宽度
fertile,adj. 肥沃的
chamber,n. 〔人体内或某些机器中的〕室，腔
rotary,adj. 旋转的，转动的
dense,adj. 密集的
scout,n. 侦察员，侦察机
layout,n. 布局，安排，设计
torture,n. 拷问 v. 拷打
shiver,v. 颤抖，哆嗦 n. 冷颤
likewise,adv. 同样地
ratio,n. 比，比率
textile,n. 纺织品
employer,n. 雇佣者，雇主
preferable,adj. 更可取的，更好的
impatient,adj. 不耐烦的，急躁的
vapour,n. 汽，蒸气
civilize,v. 使文明
favourable,adj. 赞成的
exciting,adj. 令人兴奋的
comparison,n. 比较，对照
bosom,n. 胸，胸部
surgery,n. 外科，外科手术
fleet,n. 舰队
liter,n. 升（容量单位）
mechanics,n. 力学
crystal,n. 结晶体
effective,adj. 有效的
rouse,v. 唤醒，唤起
reflexion,n. 映象
Arabian,adj. 阿拉伯的
widen,v. 变宽
ampere,n. 安培
blast,n. 爆炸，冲击波 v. 炸
doubtless,adv. 无疑地
cloak,n. 斗篷
mistress,n. 女主
rotation,n. 旋转，转动
hardware,n. 硬件
naughty,adj. 顽皮的，淘气的
persist,v. 坚持，固执
vacuum,n. 真空
ditch,n. 沟，沟渠，渠道
accidental,adj. 偶然的
automation,n. 自动，自动化
angel,n. 天使
variation,n. 变化，变动
reflection,n. 映象
removal,n. 移动
costly,adj. 昂贵的
continuous,adj. 连续不断的，持续的
fabric,n. 织物，纺织品
freight,n. 货运
lick,v. 舔
thrust,v. 插，刺 n. 猛冲，猛刺
spur,n. 刺激物 v. 刺激
curse,n. 诅咒，咒骂
heroic,adj. 英雄的
resort,vi. 求助，凭借 n. 诉诸
utter,adj. 完全的，彻底的
penetrate,v. 穿过
boast,v. 自夸，吹嘘
breadth,n. 宽度，幅度
feeble,adj. 虚弱的
lighten,v. 照亮，使明亮
hasty,adj. 急速的
commission,n. 委员会
joyful,adj. 十分喜悦的，快乐的
convert,v. 使转变
submerge,v. 浸没
honourable,adj. 光荣的
spacecraft,n. 航天器，宇宙飞船
soak,v. 浸，泡
Marxist,adj. 马克思主义的
disorder,n. 骚乱
graceful,adj. 优美的，优雅的
optical,adj. 眼的
attentive,adj. 注意的
odour,n. 气味，味道
enclose,v. 附上
daring,adj. 大胆的，勇敢的
bronze,n. 青铜
disable,v. 使无能，使伤残
doubtful,adj. 难以预测的
famine,n. 饥荒
princess,n. 公主
fragment,n. 碎片，破片，碎块
provision,n. 供应
coordinate,v. 使协调，调节
horror,n. 恐怖
deduce,v. 演绎，推论，推断
acceptance,n. 接受，验收
recovery,n. 重获
depart,v. 离开，起程
crane,n. 起重机，摄影升降机
external,adj. 外部的，外面的
fraction,n. 小部分
brittle,adj. 脆的
parade,n. 游行 v. 游行
furnish,v. 装备，布置 （房间、建筑物）
liable,adj. 易于…的
Negro,n. 黑人
storey,n. （层）楼
lightly,adv. 轻轻地，轻松地
remarkable,adj. 异常的，非凡的
muscle,n. 肌肉，肌
sole,n. 脚底
imprison,v. 关押，监禁
loyal,adj. 忠诚的，忠心的
ghost,n. 鬼，灵魂
mortal,adj. 终有一死的
bull,n. 公牛
cucumber,n. 黄瓜
cordial,adj. 真诚的，诚恳的
sketch,n. 略图
intimate,adj. 亲密的
waterproof,adj. 不透水的，防水的
overtime,n. 加班
nasty,adj. 龌龊的
halt,v. 停止 n. 停住
occasional,adj. 偶然的
sequence,n. 次序
rotate,v. 旋转
plough,n. 犁 v. 犁，耕
largely,adv. 大部分
extent,n. 程度
moreover,adv. 再者，加之，此外
journal,n. 日报，杂志
liquor,n. 酒
limitation,n. 限制
stoop,v. 俯身 n. 曲背
parliament,n. 议会，国会
weld,v. 焊接，熔接 n. 焊接点
cannon,n. 大炮，火炮
confine,v. 禁闭
necessity,n. 必要性
mercury,n. 水银，汞
darling,n. 亲爱的人
injection,n. 注射
indignant,adj. 愤慨的，义愤的
cart,n. 二轮运货马车
herd,n. 兽群，牧群 v. 放牧
sportsman,n. 运动员
intensity,n. 强烈，剧烈
violet,n. 紫罗兰
slender,adj. 细长的
landlady,n. 女房东
blaze,n. 火 v. 燃烧
bolt,n. 插销 v. 闩门
nitrogen,n. 氮
murderer,n. 杀人犯，凶手
inhabitant,n. 居民，住户
lest,conj. 以免
fruitful,adj. 多产的
velocity,n. 速度
cricket,n. 板球
structural,adj. 结构的，构造的
precaution,n. 预防
coarse,adj. 粗的，粗糙的
agony,n. 极度痛苦
intensive,adj. 加强的
disgust,n. 厌恶，憎恶
utilize,v. 利用
temper,n. 韧度 vt. 调和， 使缓和
concede,vt. 承认， 承认…为真
sexism,n. 性别偏见， 性别歧视
editorial,adj. 编辑的，主笔的，编者的 n. 社论， 重要评论
dominate,vi. 拥有优势 vt. 在…中占首要地位
Christ,n. 基督， 救世主
halfway,adv. 半路地 adj. 中途的
bump,vi. 碰，撞 n. 碰撞， 猛撞
draught,n. 穿堂风，冷风 adj. 〔啤酒〕桶装的，散装的
surge,vi. 蜂拥而出 n. 大浪， 波涛
senator,n. 参议员
obligation,n. 义务， 责任
combat,n. 战争，斗争，格斗 vt. 与…斗争， 与…战斗
clause,n. 条款
charm,n. 迷人的特性，魅力 vt. 吸引， 迷住
deception,n. 欺骗
given,adj. 规定的，特定的 prep. 考虑到
solicitor,n. 律师， 法律顾问
doctoral,adj. 博士的
generic,adj. 【生物】 属的， 类的
whoever,pron. 谁
deputy,n. 副职， 副手
preventive,adj. 预防性的
alliance,n. 结盟， 联盟
wagon,n. 四轮马车， 大篷车
soda,n. 碳酸钠， 纯碱
compassion,n. 同情， 怜悯
dental,adj. 牙齿的， 牙科的
rally,v. 集合， 团结 n. 集会
profile,n. 侧面 vt. 为…描绘
pluralism,n. 多重性
bracket,n. 括号 vt. 把…归为同一类
conviction,n. 确信
reckon,vt. 认为， 估计
bloody,adv. [用于加强语气]非常，很 adj. [用于加强语气]非常的 vt. 血染
priest,n. 神父， 牧师
invincible,adj. 不能征服的， 无敌的
whereas,conj. 然而， 但是， 尽管
adoptive,adj. 收养关系的
machinery,n. 机器， 机械
inference,n. 推断结果， 结论
notify,vt. 通知， 告知， 报告
heave,vi. 起伏，隆起 vt. 举起，提起，拉起，拖 n. 举起
nourish,vt. 提供养分， 养育
refugee,n. 难民
comparable,adj. 可比较的
presumably,adv. 大概， 可能， 据推测
bearing,n. 举止， 风度
spokesman,n. 发言人
suburb,n. 郊区， 郊外， 近郊
shrug,n&v. 耸肩
owing,adj. 应付的， 未付的
guitar,n. 吉他， 六弦琴
cherish,vt. 珍爱
prolong,vt. 拉长， 延长
republican,adj. 共和政体的 n. 共和党人
coupon,n. 礼券， 优惠券， 配给券
anonymous,adj. 匿名的
fourfold,adv. 四倍， 四重 adj. 四倍的，四重的
publicity,n. 公众的注意， 名声
according,adj. 相等的， 一致的， 依…而定的
membership,n. 会员身份， 会籍
newsstand,n. 报摊， 杂志摊
landscape,n. 风景，景色 vt. 美化…的景观
fairy,n. 小精灵， 小仙子
providing,conj. 倘若
minimize,vt. 将…减少
lease,n. 租约，租契 vt. 出租
slap,vt. 掴，掌击，拍 n. 掴， 掌击， 拍
persuasive,adj. 劝诱的
breakdown,n. 垮， 衰竭
copyright,n. 版权
charter,adj. 包租的， 租用的 n. 宪章，共同纲领 vt. 包，租
succeeding,adj. 以后的， 随后的
viewpoint,n. 观点， 看法， 见解
script,n. 剧本， 广播稿
species,n. 种， 类
internship,n. 实习生身份
estate,n. 土地， 住宅区， 地产
rumour,n. 谣传， 谣言
elderly,adj. 较老的，年长的 n. 到了晚年的人， 老年人
radical,adv. 根本的，基本的 n. 激进分子
concession,n. 让步， 妥协
